Country,location_name,latitude,longitude,last_updated,temperature_celsius,precip_mm,humidity,air_quality_PM2.5,air_quality_PM10
Spain,Madrid,40.4,-3.68,2023/11/17 20:45,12,0,94,64.3,76.5
Sri Lanka,Colombo,6.93,79.85,2023/11/18 1:15,26,0.35,100,14.9,18.4
Sudan,Khartoum,15.59,32.53,2023/11/17 21:45,31,0,27,18.6,85
Suriname,Paramaribo,5.83,-55.17,2023/11/17 16:45,31,0.37,66,2.6,5.5
Sweden,Stockholm,59.33,18.05,2023/11/17 20:45,-2,0,86,3,5.4
Switzerland,Bern,46.92,7.47,2023/11/17 20:45,6,0.26,81,8.1,9
Syria,Damascus,33.5,36.3,2023/11/17 22:45,16.2,0,69,5.8,11
Tajikistan,Dushanbe,38.56,68.77,2023/11/18 0:45,14,0,38,4.5,6.6
Tanzania,Dodoma,-6.18,35.75,2023/11/17 22:45,22,0,78,0.9,1.6
Thailand,Bangkok,13.75,100.52,2023/11/18 2:45,23,0,69,60.1,75.3
Timor-Leste,Dili,-8.56,125.57,2023/11/18 4:45,25.7,0,76,3.8,4.4
Bulgaria,Lom,43.81,23.24,2023/11/17 21:45,8.3,0.03,92,7.3,8.5
Tonga,Nuku`Aloia,-21.13,-175.2,2023/11/18 8:45,24,0,89,4.9,15.1
Trinidad and Tobago,Port Of Spain,10.65,-61.52,2023/11/17 15:45,31,0.01,66,1.7,2.7
Tunisia,Tunis,36.8,10.18,2023/11/17 20:45,20,0,78,2.1,6.8
Turkey,Ankara,39.93,32.86,2023/11/17 22:45,7,0,76,92.8,105.2
Turkmenistan,Ashgabat,37.95,58.38,2023/11/18 0:45,17,0,68,27.2,68
Tuvalu,Funafuti,-8.52,179.22,2023/11/18 7:45,29,0,94,0.5,1
Uganda,Kampala,0.32,32.57,2023/11/17 22:45,19.2,0.19,92,18.5,35.5
Ukraine,Kyiv,50.43,30.52,2023/11/17 21:45,3.4,0,76,3.3,4.4
United Arab Emirates,Abu Dhabi,24.47,54.37,2023/11/17 23:45,25,0,74,6.7,11.5
United Kingdom,London,51.52,-0.11,2023/11/17 19:45,7,0,93,16.1,17.8
United States of America,Washington Park,46.6,-120.49,2023/11/17 11:45,3.9,0,67,10.4,12.7
Uruguay,Montevideo,-34.86,-56.17,2023/11/17 16:45,28,0,45,2.7,3.9
Uzbekistan,Tashkent,41.32,69.25,2023/11/18 0:45,15,0,41,24.6,29
Vanuatu,Port Vila,-17.73,168.32,2023/11/18 6:45,25,0,89,2.7,5
Venezuela,Caracas,10.5,-66.92,2023/11/17 15:45,33,1.13,63,7.5,8
Vietnam,Hanoi,21.03,105.85,2023/11/18 2:45,15,0,77,68.6,88.8
Yemen,Sanaa,15.35,44.21,2023/11/17 22:45,18.6,0,50,7.6,35.9
Zambia,Lusaka,-15.42,28.28,2023/11/17 21:45,25.3,0,31,18.1,29.1
Zimbabwe,Harare,-17.82,31.04,2023/11/17 21:45,22.8,0,32,16.4,24.4
Afghanistan,Kabul,34.52,69.18,2023/11/19 0:15,7.4,0,20,5.9,8.9
Albania,Tirana,41.33,19.82,2023/11/18 20:45,8,0,49,0.8,1.4
Algeria,Algiers,36.76,3.05,2023/11/18 20:45,15,0,82,2.3,6.7
Andorra,Andorra La Vella,42.5,1.52,2023/11/18 20:45,8.7,0,60,0.8,1
Angola,Luanda,-8.84,13.23,2023/11/18 20:45,27,0,84,15.1,33.3
Antigua and Barbuda,Saint John's,17.12,-61.85,2023/11/18 15:45,28,0.04,78,4.9,17.2
Argentina,Buenos Aires,-34.59,-58.67,2023/11/18 16:45,21,0,26,0.5,1.1
Armenia,Yerevan,40.18,44.51,2023/11/18 23:45,10,0,58,4.5,4.9
Australia,Canberra,-35.28,149.22,2023/11/19 6:45,10,0,100,4,5.6
Austria,Vienna,48.2,16.37,2023/11/18 20:45,3,0,70,0.7,1.5
Azerbaijan,Baku,40.4,49.88,2023/11/18 23:45,16,0.19,94,0.7,1.1
Bahamas,Nassau,25.08,-77.35,2023/11/18 14:45,27,0,74,1.6,4.3
Bahrain,Manama,26.24,50.58,2023/11/18 22:45,24,0,57,30.5,58.3
Bangladesh,Dhaka,23.72,90.41,2023/11/19 1:45,25.3,0,63,8,9.7
Barbados,Bridgetown,13.1,-59.62,2023/11/18 15:45,29,0.02,75,7.2,23.4
Belarus,Minsk,53.9,27.57,2023/11/18 22:45,-2,0,93,11.8,13.4
Belgium,Brussels,50.83,4.33,2023/11/18 20:45,12,0.04,94,2,2.1
Belize,Belmopan,17.25,-88.77,2023/11/18 13:45,30,0,66,2.3,4.7
Benin,Porto-Novo,6.48,2.62,2023/11/18 20:45,28,0,84,6.3,12.7
Bhutan,Thimphu,27.48,89.6,2023/11/19 1:45,2.1,0,83,5.8,8.1
Bolivia,Sucre,-19.04,-65.26,2023/11/18 15:45,28.7,0,8,2.1,8.2
Bosnia and Herzegovina,Sarajevo,43.85,18.38,2023/11/18 20:45,3,0.07,70,0.5,0.7
Botswana,Gaborone,-24.65,25.91,2023/11/18 21:45,25.4,0,45,2.1,3.7
Brazil,Bras,-2.08,-58.17,2023/11/18 15:45,40.2,0,23,2,2.9
Brunei Darussalam,Bandar Seri Begawan,4.88,114.93,2023/11/19 3:45,27,0.34,100,0.5,0.6
Bulgaria,Sofia,42.68,23.32,2023/11/18 21:45,3,0.02,70,0.5,0.8
Burkina Faso,Ouagadougou,12.37,-1.52,2023/11/18 19:45,32,0,26,71.4,213.2
Burundi,Bujumbura,-3.38,29.36,2023/11/18 21:45,21.9,0.01,84,12.7,40.1
Madagascar,Ivory,-24.37,46.45,2023/11/18 22:45,27.6,0.02,60,1,1.6
Cape Verde,Praia,14.93,-23.51,2023/11/18 18:45,28,0,45,72.6,253.4
Cambodia,Phnom Penh,11.55,104.92,2023/11/19 2:45,25,0,83,36.9,51.5
Cameroon,Bafoussam,5.47,10.42,2023/11/18 20:45,17.8,0,90,14.8,31.5
Canada,Ottawa,45.42,-75.7,2023/11/18 14:45,4,0,48,0.5,0.5
Central African Republic,Bangui,4.37,18.58,2023/11/18 20:45,23.5,0.13,87,6.2,8.5
Chad,N'djamena,12.11,15.05,2023/11/18 20:45,29,0,18,47,196.8
Chile,Santiago,-33.45,-70.67,2023/11/18 16:45,23,0,31,35.7,43.3
China,Beijing,39.93,116.39,2023/11/19 3:45,0,0,55,100.7,210.8
Bulgaria,Bogot,43.32,24.7,2023/11/18 21:45,5.9,0,61,0.5,0.6
Comoros,Moroni,-11.7,43.24,2023/11/18 22:45,24.4,0,82,1.4,2.5
Congo,Brazzaville,-4.26,15.28,2023/11/18 20:45,23.1,0.01,92,15.1,59.3
Costa Rica,San Juan,9.97,-84.08,2023/11/18 13:45,23,1.54,83,11.2,11.9
Croatia,Zagreb,45.8,16,2023/11/18 20:45,1,0,86,3.2,4.7
Cuba,Havana,23.13,-82.36,2023/11/18 14:45,27,0,74,3.1,7.2
Cyprus,Nicosia,35.17,33.37,2023/11/18 21:45,18,0.29,88,1.9,2.2
Czech Republic,Prague,50.08,14.47,2023/11/18 20:45,2,0,80,24.8,36.3
Democratic Republic of Congo,Kinshasa,-4.3,15.3,2023/11/18 20:45,23,0.07,93,15.1,59.3
Denmark,Copenhagen,55.67,12.58,2023/11/18 20:45,5,0.01,75,1.7,2.5
Djibouti,Djibouti,11.6,43.15,2023/11/18 22:45,29,1.55,79,8.5,10
Dominica,Roseau,15.3,-61.4,2023/11/18 15:45,31,0.03,49,3.1,12
Dominican Republic,Santo Domingo,18.47,-69.9,2023/11/18 15:45,25,0,100,2.3,2.9
Ecuador,Quito,-0.22,-78.5,2023/11/18 14:45,18.4,0.14,57,11.1,13.1
Egypt,Cairo,30.05,31.25,2023/11/18 21:45,24,0,47,26.7,113.7
El Salvador,San Salvador,13.71,-89.2,2023/11/18 13:45,27,0.06,66,3.1,4.6
Equatorial Guinea,Malabo,3.75,8.78,2023/11/18 20:45,26.9,0,79,0.7,1
Eritrea,Asmara,15.33,38.93,2023/11/18 22:45,21.7,0.63,85,7.5,12
Estonia,Tallinn,59.43,24.73,2023/11/18 21:45,-4,0,80,3.2,4.6
Swaziland,Mbabane,-26.32,31.13,2023/11/18 21:45,18,0,89,15.9,17.7
Ethiopia,Addis Ababa,9.03,38.7,2023/11/18 22:45,15,0,88,66.3,138.1
Fiji Islands,Suva,-18.13,178.42,2023/11/19 7:45,26,0.09,84,2.8,4.7
Finland,Helsinki,60.18,24.93,2023/11/18 21:45,-2,0.12,93,1.5,2.6
France,Paris,48.87,2.33,2023/11/18 20:45,14,0,94,3.6,4.6
Gabon,Libreville,0.38,9.45,2023/11/18 20:45,25.5,3.24,90,2.9,4.2
Gambia,Banjul,13.45,-16.58,2023/11/18 19:45,28,0,66,69.1,281.3
Georgia,Tbilisi,41.73,44.79,2023/11/18 23:45,6,0,75,34.5,44
Germany,Berlin,52.52,13.4,2023/11/18 20:45,4,0,87,9.1,10.7
Ghana,Accra,5.55,-0.22,2023/11/18 19:45,28,0,79,5.1,12.6
Greece,Athens,37.98,23.72,2023/11/18 21:45,13,0,38,1.6,2.1
Grenada,Saint George's,12.05,-61.75,2023/11/18 15:45,30,0,79,21.3,47.4
Guatemala,Guatemala City,14.62,-90.53,2023/11/18 13:45,22,0.02,73,14.7,18.2
Guinea,Conakry,9.51,-13.71,2023/11/18 19:45,27,0,89,33.7,72
Guinea-Bissau,Bissau,11.85,-15.58,2023/11/18 19:45,28,0,79,66.1,165.7
Guyana,Georgetown,6.8,-58.17,2023/11/18 15:45,32,0.22,59,9.6,14.9
Haiti,Port-Au-Prince,18.54,-72.34,2023/11/18 14:45,27,0,84,7.6,17.5
Vatican City,Vatican City,41.9,12.45,2023/11/18 20:45,11,0,54,8.2,9.3
Honduras,Tegucigalpa,14.1,-87.22,2023/11/18 13:45,26,0.03,61,2.9,4.9
Hungary,Budapest,47.5,19.08,2023/11/18 20:45,3,0,75,1.1,1.7
Iceland,Hella,63.83,-20.4,2023/11/18 19:45,4.2,0,77,0.5,2.3
India,New Delhi,28.6,77.2,2023/11/19 1:15,19,0,64,328.3,377
Indonesia,Jakarta,-6.21,106.85,2023/11/19 2:45,27,0.07,94,743.9,923
Iran,Tehran,35.73,51.33,2023/11/18 23:15,14,0,41,12.1,20.5
Iraq,Baghdad,33.34,44.39,2023/11/18 22:45,18,0,73,38.7,69.9
Ireland,Dublin,53.33,-6.25,2023/11/18 19:45,11,0.01,87,1.1,2.2
Israel,Jerusalem,31.78,35.23,2023/11/18 21:45,21,0,73,20.7,38.9
Italy,Rome,41.9,12.48,2023/11/18 20:45,11,0,54,8.2,9.3
Jamaica,Norman Gardens,17.97,-76.75,2023/11/18 14:45,31,0,75,3.1,4.2
Japan,Tokyo,35.69,139.69,2023/11/19 4:45,9,0,62,1.2,2.4
Jordan,Amman,31.95,35.93,2023/11/18 22:45,18,0,68,17.3,32.9
Kazakhstan,Astana,51.18,71.43,2023/11/19 1:45,-2,0.01,86,0.5,0.5
Kenya,Nairobi,-1.28,36.82,2023/11/18 22:45,19,0.04,83,13.2,24.1
Kiribati,Tarawa,-0.88,169.53,2023/11/19 7:45,29.2,0,73,0.8,2
Kuwait,Kuwait City,29.37,47.96,2023/11/18 22:45,22.9,0,51,28.8,109.2
Kyrghyzstan,Bishkek,42.87,74.6,2023/11/19 1:45,9.2,0.01,69,10,12.6
Indonesia,Laos,-8.18,114.32,2023/11/19 2:45,21.1,0.02,88,14.7,21.2
Latvia,Riga,56.95,24.1,2023/11/18 21:45,-1,0,93,19.6,28.2
Lebanon,Beirut,33.87,35.51,2023/11/18 21:45,22,0.4,73,4.1,5.2
Lesotho,Maseru,-29.32,27.48,2023/11/18 21:45,23,0,29,3.4,7.5
Liberia,Monrovia,6.31,-10.8,2023/11/18 19:45,26,0.36,94,3.1,5
Thailand,Nan,18.78,100.78,2023/11/19 2:45,17.5,0,80,25.3,28.6
Liechtenstein,Vaduz,47.13,9.52,2023/11/18 20:45,8,1.26,71,14.7,16.5
Lithuania,Vilnius,54.68,25.32,2023/11/18 21:45,-1,0,86,22.8,36.4
Luxembourg,Luxembourg,49.61,6.13,2023/11/18 20:45,8,0.43,100,1.5,1.6
Madagascar,Antananarivo,-18.92,47.52,2023/11/18 22:45,19,0.01,100,9.7,18.6
Malawi,Lilongwe,-13.98,33.78,2023/11/18 21:45,24,0,61,2.2,6.6
Malaysia,Kuala Lumpur,3.17,101.7,2023/11/19 3:45,26,0,94,152.5,164.9
Maldives,Farukolhufunadhoo,6.15,73.27,2023/11/19 0:45,28,0,76,0.5,1
Mali,Bamako,12.65,-8,2023/11/18 19:45,31,0,38,39.5,101.1
Malta,Valletta,35.9,14.51,2023/11/18 20:45,18,0.01,49,1.1,2.7
Marshall Islands,Majuro,7.1,171.38,2023/11/19 7:45,29,0.05,79,1.8,4.3
Mauritania,Nouakchott,18.09,-15.98,2023/11/18 19:45,30.4,0,25,124.8,523.2
Mauritius,Port Louis,-20.16,57.5,2023/11/18 23:45,23,0,83,3.3,8.7
Mexico,Mexico City,19.43,-99.13,2023/11/18 13:45,23,0,9,12.5,15.1
Micronesia,Palikir,6.92,158.15,2023/11/19 6:45,25,0,94,0.5,1.5
Russia,Chi-Chi-Erh,51.7,94.45,2023/11/19 2:45,-11,0,91,3.6,5.9
Monaco,Monaco,43.73,7.42,2023/11/18 20:45,12,0,54,12.2,14.3
Mongolia,Ulaanbaatar,47.92,106.92,2023/11/19 3:45,-17,0,84,42.7,47.4
Montenegro,Podgorica,42.44,19.26,2023/11/18 20:45,7,0,49,0.5,0.6
Morocco,Rabat,34.03,-6.84,2023/11/18 20:45,12,0,94,32.4,36.1
Mozambique,Maputo,-25.97,32.59,2023/11/18 21:45,25,0,83,5.5,23
Myanmar,Pathein,16.78,94.73,2023/11/19 2:15,23.4,0,89,58.8,65.8
Namibia,Windhoek,-22.57,17.08,2023/11/18 21:45,26,0.03,32,6.8,10.8
Turkey,Yaren,39.55,27.62,2023/11/18 22:45,6,0.05,93,2.7,3.3
Nepal,Kathmandu,27.72,85.32,2023/11/19 1:30,13,0,88,93.8,155.4
Netherlands,Amsterdam,52.37,4.89,2023/11/18 20:45,12,0.27,100,1.8,2.1
New Zealand,Wellington,-41.3,174.78,2023/11/19 8:45,13,0.73,100,0.7,1
Nicaragua,Managua,12.15,-86.27,2023/11/18 13:45,30,0.5,75,33.8,34.6
Niger,Niamey,13.52,2.12,2023/11/18 20:45,33,0,14,62.2,223.4
Nigeria,Abuja,9.18,7.18,2023/11/18 20:45,27.5,0,29,97.5,274.2
North Korea,Pyongyang,39.02,125.75,2023/11/19 4:45,1.3,0.01,67,36.4,46.7
Macedonia,Skopje,42,21.43,2023/11/18 20:45,7,0,45,0.5,0.7
Norway,Oslo,59.92,10.75,2023/11/18 20:45,7,0,81,23,27.1
Oman,Muscat,23.61,58.59,2023/11/18 23:45,25,0,69,21.7,36.4
Pakistan,Islamabad,33.7,73.17,2023/11/19 0:45,14.5,0,34,110,141
Palau,Adkip,7.36,134.51,2023/11/19 4:45,28.7,1.12,80,0.8,1.8
Bolivia,National,-11.18,-67.08,2023/11/18 15:45,39.9,0,23,0.6,0.7
Panama,Panama City,8.97,-79.53,2023/11/18 14:45,28,0.03,84,1.6,2
Papua New Guinea,Port Moresby,-9.46,147.19,2023/11/19 5:45,24.2,0,90,4.6,7.3
Paraguay,Carreria,-21.55,-58.12,2023/11/18 16:45,38.3,0,29,7.9,8
Peru,Lima,-12.05,-77.05,2023/11/18 14:45,21.2,0,70,4.3,14.7
Philippines,Manila,14.6,120.98,2023/11/19 3:45,27,0,70,10.7,15.2
Poland,Warsaw,52.25,21,2023/11/18 20:45,0,0.05,93,14.1,22.4
Portugal,Lisbon,38.72,-9.13,2023/11/18 19:45,14,0,100,8.8,12.4
Qatar,Doha,25.29,51.53,2023/11/18 22:45,24,0,74,31.2,52.1
Romania,Bucharest,44.43,26.1,2023/11/18 21:45,6,3.24,70,0.9,1.3
Russia,Moscow,55.75,37.62,2023/11/18 22:45,-9,0,85,95.8,111.7
Rwanda,Kigali,-1.95,30.06,2023/11/18 21:45,21,0,78,11.4,24
Saint Kitts and Nevis,Basseterre,17.3,-62.72,2023/11/18 15:45,29,0,84,7,20.8
Saint Lucia,Castries,14,-61,2023/11/18 15:45,30,0.01,66,4.7,17.1
Saint Vincent and the Grenadines,Kingstown,13.13,-61.22,2023/11/18 15:45,28.2,0.02,73,15.4,38.4
Samoa,Apia,-13.83,-171.73,2023/11/19 8:45,29,0.04,84,2.1,6.3
San Marino,San Marino,43.93,12.45,2023/11/18 20:45,7,0,76,22,24.4
Belgium,'S-Gravenwezel,51.27,4.55,2023/11/18 20:45,12,0.02,94,2.2,2.4
Saudi Arabia,Riyadh,24.64,46.77,2023/11/18 22:45,21,0,60,42.2,113
Senegal,Dakar,14.67,-17.44,2023/11/18 19:45,28,0,79,102.5,409.6
Serbia,Belgrade,44.8,20.47,2023/11/18 20:45,5,0,75,0.5,0.9
Seychelles Islands,Victoria,-4.62,55.45,2023/11/18 23:45,28,0.05,84,2.2,3.4
Sierra Leone,Freetown,8.49,-13.23,2023/11/18 19:45,26.6,0,79,5.9,15
Singapore,Singapore,1.29,103.86,2023/11/19 3:45,27,0.81,84,3.7,5.6
Slovakia,Bratislava,48.15,17.12,2023/11/18 20:45,4,0,70,0.5,0.8
Slovenia,Ljubljana,46.06,14.51,2023/11/18 20:45,-1,0,100,13.8,21.8
Solomon Islands,Honiara,-9.43,159.95,2023/11/19 6:45,25,0.2,100,0.5,1.1
Somalia,Mogadishu,2.07,45.37,2023/11/18 22:45,27.9,0,76,6.6,16.8
South Africa,Pretoria,-25.75,28.19,2023/11/18 21:45,19,0,68,18.5,29.4
South Korea,Seoul,37.57,127,2023/11/19 4:45,1,0,86,25.8,31.3
Sudan,Juba,12.15,24.45,2023/11/18 21:45,27,0,22,23.1,89.1
Spain,Madrid,40.4,-3.68,2023/11/18 20:45,12,0,88,22,25.7
Sri Lanka,Colombo,6.93,79.85,2023/11/19 1:15,25,2.33,100,18.5,20.9
Sudan,Khartoum,15.59,32.53,2023/11/18 21:45,29.8,0,23,20.8,99.1
Suriname,Paramaribo,5.83,-55.17,2023/11/18 16:45,33,0.14,56,4.9,13.6
Sweden,Stockholm,59.33,18.05,2023/11/18 20:45,-4,0,86,3.2,6.2
Switzerland,Bern,46.92,7.47,2023/11/18 20:45,6,0.05,93,14.7,16.8
Syria,Damascus,33.5,36.3,2023/11/18 22:45,21,0,60,4.8,7.7
Tajikistan,Dushanbe,38.56,68.77,2023/11/19 0:45,14,0,55,6.4,11.4
Tanzania,Dodoma,-6.18,35.75,2023/11/18 22:45,22.2,0,71,0.5,1.1
Thailand,Bangkok,13.75,100.52,2023/11/19 2:45,22,0,69,58.5,77.1
Timor-Leste,Dili,-8.56,125.57,2023/11/19 4:45,25.4,0,75,3.3,3.7
Bulgaria,Lom,43.81,23.24,2023/11/18 21:45,6.2,0,61,0.5,0.6
Tonga,Nuku`Aloia,-21.13,-175.2,2023/11/19 8:45,23,0.01,94,3.5,8.7
Trinidad and Tobago,Port Of Spain,10.65,-61.52,2023/11/18 15:45,31,0,59,5.4,9.2
Tunisia,Tunis,36.8,10.18,2023/11/18 20:45,17,0,68,2.4,11.7
Turkey,Ankara,39.93,32.86,2023/11/18 22:45,7,0.22,93,2,2.4
Turkmenistan,Ashgabat,37.95,58.38,2023/11/19 0:45,11,0,66,15.4,45.2
Tuvalu,Funafuti,-8.52,179.22,2023/11/19 7:45,30,0.2,89,0.8,2.5
Uganda,Kampala,0.32,32.57,2023/11/18 22:45,20.1,0.15,96,23,41.1
Ukraine,Kyiv,50.43,30.52,2023/11/18 21:45,1.7,0,62,0.9,1.2
United Arab Emirates,Abu Dhabi,24.47,54.37,2023/11/18 23:45,26,0,65,3.4,4.8
United Kingdom,London,51.52,-0.11,2023/11/18 19:45,14,0,88,2.5,3.6
United States of America,Washington Park,46.6,-120.49,2023/11/18 11:45,5,0,73,16,18.6
Uruguay,Montevideo,-34.86,-56.17,2023/11/18 16:45,19,0,35,0.5,1.6
Uzbekistan,Tashkent,41.32,69.25,2023/11/19 0:45,13,0,72,9.8,11.1
Vanuatu,Port Vila,-17.73,168.32,2023/11/19 6:45,26,0.06,94,2,5.8
Venezuela,Caracas,10.5,-66.92,2023/11/18 15:45,33,0.22,63,16.8,17.1
Vietnam,Hanoi,21.03,105.85,2023/11/19 2:45,16,0,77,140.9,197.1
Yemen,Sanaa,15.35,44.21,2023/11/18 22:45,17.4,0,59,7.7,37.1
Zambia,Lusaka,-15.42,28.28,2023/11/18 21:45,26.7,0,24,8.4,14.1
Zimbabwe,Harare,-17.82,31.04,2023/11/18 21:45,24.4,0,25,19.7,30
Afghanistan,Kabul,34.52,69.18,2023/11/20 0:15,5.4,0,26,7.8,11.8
Albania,Tirana,41.33,19.82,2023/11/19 20:45,5,0,75,10.8,15.6
Algeria,Algiers,36.76,3.05,2023/11/19 20:45,16,0,88,8.5,13.2
Andorra,Andorra La Vella,42.5,1.52,2023/11/19 20:45,6.1,0,69,0.6,0.8
Angola,Luanda,-8.84,13.23,2023/11/19 20:45,27,0,84,10.3,22.5
Antigua and Barbuda,Saint John's,17.12,-61.85,2023/11/19 15:45,28,0,79,5.7,16.3
Argentina,Buenos Aires,-34.59,-58.67,2023/11/19 16:45,27,0,26,0.9,1.4
Armenia,Yerevan,40.18,44.51,2023/11/19 23:45,14,0,55,3.1,4.6
Australia,Canberra,-35.28,149.22,2023/11/20 6:45,19,0,64,2.7,3.6
Austria,Vienna,48.2,16.37,2023/11/19 20:45,2,0.1,100,1.5,2.4
Azerbaijan,Baku,40.4,49.88,2023/11/19 23:45,16,0,100,9.7,30.3
Bahamas,Nassau,25.08,-77.35,2023/11/19 14:45,27,0,70,1.2,3.2
Bahrain,Manama,26.24,50.58,2023/11/19 22:45,26,0,58,25.9,34.2
Bangladesh,Dhaka,23.72,90.41,2023/11/20 1:45,23.5,0,71,122.1,171.5
Barbados,Bridgetown,13.1,-59.62,2023/11/19 15:45,29,0.05,79,2.3,4.9
Belarus,Minsk,53.9,27.57,2023/11/19 22:45,-2,0.02,86,7,7.9
Belgium,Brussels,50.83,4.33,2023/11/19 20:45,11,0.03,87,1.5,2.5
Belize,Belmopan,17.25,-88.77,2023/11/19 13:45,28,0,74,1.5,1.9
Benin,Porto-Novo,6.48,2.62,2023/11/19 20:45,29,0,84,5.7,12
Bhutan,Thimphu,27.48,89.6,2023/11/20 1:45,3.1,0,87,8.4,11.2
Bolivia,Sucre,-19.04,-65.26,2023/11/19 15:45,23.6,0.02,40,1.6,2.4
Bosnia and Herzegovina,Sarajevo,43.85,18.38,2023/11/19 20:45,1,0,93,6.8,10.7
Botswana,Gaborone,-24.65,25.91,2023/11/19 21:45,28,0,45,11.7,15.4
Brazil,Bras,-2.08,-58.17,2023/11/19 15:45,36,0,33,7.3,7.9
Brunei Darussalam,Bandar Seri Begawan,4.88,114.93,2023/11/20 3:45,24,0,100,1,1.1
Bulgaria,Sofia,42.68,23.32,2023/11/19 21:45,4,0,65,2.9,4.5
Burkina Faso,Ouagadougou,12.37,-1.52,2023/11/19 19:45,32,0,23,74.7,196.8
Burundi,Bujumbura,-3.38,29.36,2023/11/19 21:45,23,0,79,13.5,41.5
Madagascar,Ivory,-24.37,46.45,2023/11/19 22:45,26.5,0,59,1,1.5
Cape Verde,Praia,14.93,-23.51,2023/11/19 18:45,27,0,54,38.3,144
Cambodia,Phnom Penh,11.55,104.92,2023/11/20 2:45,25,0,79,41.4,59.9
Cameroon,Bafoussam,5.47,10.42,2023/11/19 20:45,17.6,0.02,86,54.7,142.7
Canada,Ottawa,45.42,-75.7,2023/11/19 14:45,1,0,75,0.5,0.5
Central African Republic,Bangui,4.37,18.58,2023/11/19 20:45,26,0,84,2.3,3.2
Chad,N'djamena,12.11,15.05,2023/11/19 20:45,28,0,20,57,248.5
Chile,Santiago,-33.45,-70.67,2023/11/19 16:45,29,0,25,16.5,20.2
China,Beijing,39.93,116.39,2023/11/20 3:45,-2,0,86,225.5,333.1
Bulgaria,Bogot,43.32,24.7,2023/11/19 21:45,4.4,0,63,3.7,4.5
Comoros,Moroni,-11.7,43.24,2023/11/19 22:45,24,0,84,0.6,1.6
Congo,Brazzaville,-4.26,15.28,2023/11/19 20:45,22.8,0,91,2.1,12.1
Costa Rica,San Juan,9.97,-84.08,2023/11/19 13:45,22,1.02,100,14.2,15
Croatia,Zagreb,45.8,16,2023/11/19 20:45,2,0,87,10.6,15.3
Cuba,Havana,23.13,-82.36,2023/11/19 14:45,27,0,62,3.8,8
Cyprus,Nicosia,35.17,33.37,2023/11/19 21:45,14,0,63,0.5,0.8
Czech Republic,Prague,50.08,14.47,2023/11/19 20:45,7,0.18,93,1,2
Democratic Republic of Congo,Kinshasa,-4.3,15.3,2023/11/19 20:45,22.7,0,92,2.1,12.1
Denmark,Copenhagen,55.67,12.58,2023/11/19 20:45,4,0.14,93,8.4,11
Djibouti,Djibouti,11.6,43.15,2023/11/19 22:45,27.2,0.1,80,11.2,15.9
Dominica,Roseau,15.3,-61.4,2023/11/19 15:45,32,0,43,7.6,20.7
Dominican Republic,Santo Domingo,18.47,-69.9,2023/11/19 15:45,28,0,94,2,2.5
Ecuador,Quito,-0.22,-78.5,2023/11/19 14:45,18.4,0.68,55,9.7,11.7
Egypt,Cairo,30.05,31.25,2023/11/19 21:45,18,0,68,2.9,8.2
El Salvador,San Salvador,13.71,-89.2,2023/11/19 13:45,33,0,41,2.5,4.2
Equatorial Guinea,Malabo,3.75,8.78,2023/11/19 20:45,25,0,94,0.8,1.3
Eritrea,Asmara,15.33,38.93,2023/11/19 22:45,21.9,0.48,82,8.2,18.3
Estonia,Tallinn,59.43,24.73,2023/11/19 21:45,-2,0,100,3.8,5.7
Swaziland,Mbabane,-26.32,31.13,2023/11/19 21:45,17.2,0.07,82,16.4,18.6
Ethiopia,Addis Ababa,9.03,38.7,2023/11/19 22:45,15,0,82,41.9,98.3
Fiji Islands,Suva,-18.13,178.42,2023/11/20 7:45,23,0.02,94,2.1,7.6
Finland,Helsinki,60.18,24.93,2023/11/19 21:45,-1,0.72,100,29.1,38.4
France,Paris,48.87,2.33,2023/11/19 20:45,13,0.01,77,2.6,5.6
Gabon,Libreville,0.38,9.45,2023/11/19 20:45,27,0.01,94,3.1,4.5
Gambia,Banjul,13.45,-16.58,2023/11/19 19:45,29,0,66,101.7,327
Georgia,Tbilisi,41.73,44.79,2023/11/19 23:45,9,0,76,55.1,66.2
Germany,Berlin,52.52,13.4,2023/11/19 20:45,9,0.08,87,2.1,2.5
Ghana,Accra,5.55,-0.22,2023/11/19 19:45,29,0,79,4.2,9.5
Greece,Athens,37.98,23.72,2023/11/19 21:45,9,0,57,6.8,9.2
Grenada,Saint George's,12.05,-61.75,2023/11/19 15:45,30,0.01,79,4.7,15.2
Guatemala,Guatemala City,14.62,-90.53,2023/11/19 13:45,25,0,51,8.1,11.4
Guinea,Conakry,9.51,-13.71,2023/11/19 19:45,26,0,84,15.7,25.8
Guinea-Bissau,Bissau,11.85,-15.58,2023/11/19 19:45,29,0,79,61.9,162
Guyana,Georgetown,6.8,-58.17,2023/11/19 15:45,32,0,63,3.1,4.9
Haiti,Port-Au-Prince,18.54,-72.34,2023/11/19 14:45,26,0,89,6.6,15
Vatican City,Vatican City,41.9,12.45,2023/11/19 20:45,15,0.14,82,30.5,33.6
Honduras,Tegucigalpa,14.1,-87.22,2023/11/19 13:45,27,0,45,3.1,5.9
Hungary,Budapest,47.5,19.08,2023/11/19 20:45,4,0,93,31,35.4
Iceland,Hella,63.83,-20.4,2023/11/19 19:45,2.4,0,72,2.2,3.3
India,New Delhi,28.6,77.2,2023/11/20 1:15,17,0,83,770.5,914.2
